Time,SSS_GPS_LAT,SSS_GPS_LON,SSS_GPS_ALT,SSS_GPS_VEL_X,SSS_GPS_VEL_Y,SSS_GPS_HEADING,SSS_GPS_GROUNDSPEED,VEHICLE_LAT,VEHICLE_LON,VEHICLE_ALT,VEHICLE_ALT_DESIRED,VEHICLE_THROTTLE,VEHICLE_GROUNDSPEED,VEHICLE_DISTANCE_ERROR,MOTIONCONTROLLER_SPRING_LENGTH,MOTIONCONTROLLER_TETHER_OUT,MOTIONCONTROLLER_DRUM_SPEED,MOTIONCONTROLLER_DANCER_POSITION,VEHICLE_STATE,MOTIONCONTROLLER_STATE,SSS_GPS_STATE,POWERSUPPLY_STATE,COORDINATOR_STATE,MavLink Msg Rate,MavLink Unique Msg Rate
2018-07-03 09:59:01.715,39.7353598316667,-75.3992184183333,12.991,-0.00310587605378172,-0.0163747156224566,190.74,0.0166666666666667,0,0,0,0,0,0,6250146.13031351,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:01.929,39.7353598133333,-75.3992183866667,12.99,-0.0269939614422448,-0.0143167042633157,242.06,0.0305555555555556,0,0,0,0,0,0,6250146.12973081,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:02.148,39.7353598366667,-75.3992183866667,12.972,0.025,0.0433012701892219,30,0.05,0,0,0,0,0,0,6250146.12981343,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:02.365,39.7353598416667,-75.3992183433333,12.969,0.0131864649672487,0.00436100633288062,71.7,0.0138888888888889,0,0,0,0,0,0,6250146.12912258,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:02.585,39.7353598516667,-75.3992183016667,12.96,-0.0131788334950625,-0.0043840144020431,251.6,0.0138888888888889,0,0,0,0,0,0,6250146.12847669,0,1.782,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:02.793,39.735359825,-75.3992182883333,12.955,-0.0322066506946614,0.0163322991863081,296.89,0.0361111111111111,0,0,0,0,0,0,6250146.12816426,0,1.782,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:03.006,39.7353598416667,-75.3992182566667,12.945,-0.0363107680300849,-0.0139238573706323,249.02,0.0388888888888889,0,0,0,0,0,0,6250146.12770549,0,1.782002,9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:03.212,39.7353598266667,-75.3992182383333,12.941,-0.0117782365067888,0.0370623639802225,342.37,0.0388888888888889,0,0,0,0,0,0,6250146.12735261,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:03.428,39.735359855,-75.399218225,12.929,-0.010393445943295,0.0130289699977236,321.42,0.0166666666666667,0,0,0,0,0,0,6250146.12723491,0,1.782002,0,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
2018-07-03 09:59:03.635,39.735359855,-75.399218215,12.917,-0.00407288187888365,0.0302828930009882,352.34,0.0305555555555556,0,0,0,0,0,0,6250146.1270714,0,1.782002,-9.536743E-05,0,OFFLINE,STOP,DGPS_FIX,ONLINE,STANDBY,0,0
